VistaOrder,SourceFile,Date,CustomerID,Status,ImportedAt
792184,792184.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792181,792181.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792185,792185.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792191,792191.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792186,792186.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792199,792199.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792227,792227.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792237,792237.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792238,792238.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792239,792239.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792241,792241.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792242,792242.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792243,792243.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792244,792244.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792247,792247.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
792245,792245.pdf,,,IN_PROGRESS,2026-05-09T04:54:31.621Z
